Up_sale,Client,Competitors,Source,Att_t_client,Seller,won,win_score,win_quintile
Yes,Current,No,Joint past,Normal,Seller 9,0,0.6160105361411333,2
Yes,Current,No,Joint past,Normal,Seller 1,1,0.7931524304301745,3
Yes,Current,No,Joint past,Strategic account,Seller 1,0,0.8204613528120712,4
Yes,Current,No,Joint past,Normal,Seller 9,0,0.6160105361411333,2
Yes,Other,Yes,Joint past,First deal,Seller 2,1,0.2785058272158899,1
Yes,Current,Yes,Joint past,Normal,Seller 1,1,0.6336872568560998,2
Yes,Current,No,Joint past,Normal,Seller 9,0,0.6160105361411333,2
Yes,Other,No,Joint past,Normal,Seller 2,0,0.5018705602475384,2
Yes,Current,No,Joint past,Strategic account,Seller 9,1,0.6565803685263436,2
Yes,Current,No,Joint past,Strategic account,Seller 1,0,0.8204613528120712,4
Yes,Current,No,Joint past,Normal,Seller 1,0,0.7931524304301745,3
Yes,Current,No,Joint past,Strategic account,Seller 1,0,0.8204613528120712,4
No,Current,Unknown,Joint past,Normal,Seller 9,1,0.3099027834999403,1
Yes,Current,No,Joint past,Strategic account,Seller 1,1,0.8204613528120712,4
Yes,Current,No,Joint past,Strategic account,Seller 9,1,0.6565803685263436,2
Yes,Current,No,Joint past,Strategic account,Seller 1,1,0.8204613528120712,4
No,New,Yes,Joint past,Normal,Seller 9,0,0.11704462037294892,0
Yes,Current,Yes,Joint past,Normal,Seller 1,1,0.6336872568560998,2
Yes,Current,No,Joint past,Strategic account,Seller 1,1,0.8204613528120712,4
No,New,No,Unknown,Normal,Seller 9,1,0.19277157026110228,1
No,New,Yes,Joint past,Normal,Seller 9,0,0.11704462037294892,0
No,New,No,Referral,Normal,Seller 9,0,0.18603981964806374,1
No,Current,Unknown,Joint past,Normal,Seller 9,0,0.3099027834999403,1
No,Current,Yes,Joint past,Normal,Other,0,0.3405379017345373,1
Yes,Current,Yes,Joint past,Strategic account,Seller 1,1,0.673379722085415,3
Yes,Current,No,Joint past,Normal,Seller 10,1,0.8079609711600731,4
Yes,Current,No,Joint past,Strategic account,Seller 1,0,0.8204613528120712,4
Yes,Current,No,Joint past,Strategic account,Seller 9,1,0.6565803685263436,2
Yes,Other,No,Joint past,Normal,Seller 2,0,0.5018705602475384,2
Yes,Current,No,Joint past,Normal,Seller 1,1,0.7931524304301745,3
Yes,Current,No,Joint past,Normal,Seller 1,1,0.7931524304301745,3
Yes,Current,No,Joint past,Strategic account,Seller 9,1,0.6565803685263436,2
No,New,Yes,Joint past,First deal,Other,0,0.19040872946786913,1
No,New,Yes,Unknown,Normal,Seller 9,0,0.09725831533281344,0
Yes,Current,Yes,Joint past,Strategic account,Seller 1,1,0.673379722085415,3
No,New,Yes,Referral,Strategic account,Seller 1,1,0.22704220241593226,1
No,Current,Yes,Joint past,Strategic account,Seller 1,0,0.4131797091989298,1
No,New,No,Referral,Normal,Seller 1,0,0.3532996731696086,1
No,New,Yes,Joint past,Normal,Seller 9,0,0.11704462037294892,0
No,Current,Unknown,Joint past,Normal,Seller 9,1,0.3099027834999403,1
Yes,Current,No,Joint past,Strategic account,Seller 1,1,0.8204613528120712,4
No,Current,Yes,Joint past,Strategic account,Seller 3,0,0.3206419439290209,1
Yes,Current,No,Joint past,Strategic account,Seller 1,1,0.8204613528120712,4
Yes,Current,No,Joint past,Normal,Seller 9,1,0.6160105361411333,2
No,Current,No,Joint past,Strategic account,Seller 3,0,0.5112835676784971,2
No,Current,No,Joint past,Strategic account,Seller 3,0,0.5112835676784971,2
No,New,Unknown,Referral,Normal,Seller 9,0,0.15778175781061468,0
Yes,Current,No,Joint past,Strategic account,Seller 1,0,0.8204613528120712,4
Yes,Current,Yes,Joint past,Normal,Seller 1,0,0.6336872568560998,2
No,New,Yes,Media,Normal,Seller 9,0,0.04780442767534308,0
No,Current,No,Unknown,Normal,Seller 9,0,0.30809410161955564,1
Yes,Current,No,Joint past,Normal,Seller 1,1,0.7931524304301745,3
No,Current,Unknown,Joint past,Normal,Seller 9,1,0.3099027834999403,1
Yes,Current,No,Joint past,Strategic account,Seller 1,0,0.8204613528120712,4
Yes,Current,No,Joint past,Strategic account,Seller 9,0,0.6565803685263436,2
Yes,Current,No,Joint past,Strategic account,Seller 1,0,0.8204613528120712,4
Yes,Current,No,Joint past,Strategic account,Seller 1,1,0.8204613528120712,4
No,New,Yes,Direct mail,First deal,Seller 2,0,0.06962746011085966,0
Yes,Current,No,Joint past,Normal,Seller 1,1,0.7931524304301745,3
No,New,No,Joint past,Normal,Seller 9,0,0.22710087449907918,1
No,New,Yes,Joint past,Normal,Seller 9,0,0.11704462037294892,0
Yes,Current,No,Joint past,Strategic account,Seller 1,1,0.8204613528120712,4
No,Current,Yes,Referral,Strategic account,Seller 2,0,0.18522330516456953,1
No,New,Yes,Direct mail,First deal,Seller 2,0,0.06962746011085966,0
No,New,Yes,Direct mail,First deal,Seller 2,0,0.06962746011085966,0
No,New,Yes,Direct mail,First deal,Seller 2,0,0.06962746011085966,0
No,New,Yes,Direct mail,First deal,Seller 2,0,0.06962746011085966,0
No,New,Yes,Referral,First deal,Seller 1,0,0.1730828711335789,1
